Drug,N.Targets,N.Seedgenes,d,zscore,pvalue
C0U1CG,2,3,4.0,0.43790308576191816,0.9128
C0U1IR,1,6,2.0,-0.49892218025118684,0.4666
C0U2OY,1,0,7.0,,0.0
C0U6NB,2,3,4.5,1.9175666121169872,1.0
C0U8JS,1,2,6.0,2.4929234149477746,1.0
C0UDY9,1,6,2.0,-0.38334811405491903,0.5808
C0UL6E,2,7,4.0,1.4637603360286122,1.0
C0V5BI,1,6,3.0,-0.5258653634337958,0.4974
C0V7SU,1,0,4.0,,0.0
C0V8PK,1,3,4.0,-1.0628920818611052,0.4068
C0V8SK,2,6,2.5,-0.027511910559720194,0.5046
C0W2KX,1,8,3.0,-1.4408781465492426,0.1962
C0W2TF,1,3,3.0,-1.8692486272892415,0.163
C0W5IK,1,0,7.0,,0.0
C0W6RQ,1,3,6.0,3.397754966952034,1.0
C0W7QE,1,3,5.0,0.5308099493370844,0.6668
C0W8LS,1,2,5.0,5.2448805448574864,1.0
C0W9CT,1,7,4.0,1.9930915164897591,1.0
C0WA7Z,2,6,3.0,0.4716748027938783,0.7458
C0WB5V,2,8,3.0,0.09741599328981401,0.739
C0WEU1,1,3,4.0,-1.0828230070974594,0.396
C0WH4U,1,6,2.0,-1.1777649401647452,0.1684
C0WH5I,1,0,4.0,,0.0
C0WJ7R,2,6,2.5,-0.027511910559720194,0.5046
C0WJX2,1,0,7.0,,0.0
C0WR9F,2,3,4.0,0.43790308576191816,0.9128
C0WZS7,2,3,5.0,1.5935502526752323,1.0
C0X8ER,2,3,5.0,1.3895439382722714,1.0
C0X8SG,1,2,6.0,,0.0
C0X9FR,1,7,4.0,1.2503089459535643,1.0
C0XC5J,2,6,3.0,0.4716748027938783,0.7458
C0XJY2,2,8,3.0,0.09741599328981401,0.739
C0XL5Q,1,0,4.0,,0.0
C0XM9Z,1,0,7.0,,0.0
C0XOB5,1,3,4.0,-1.0828230070974594,0.396
C0XWL8,1,6,3.0,-0.42534311532047514,0.521
C0XZ8K,1,6,2.0,-0.8083857394697593,0.4144
C0Y1TB,2,2,6.0,0.0,1.0
C0Y2EG,1,3,4.0,-0.5290686732505242,0.5168
C0Y4GH,2,3,4.5,1.9175666121169872,1.0
C0Y5PD,1,3,5.0,1.5935502526752323,1.0
C0Y8ZK,1,7,4.0,1.6246825068184256,1.0
C0Y9RK,2,6,3.5,0.07238624806269095,0.5886
C0YCU9,1,0,8.0,,0.0
C0YD1F,1,0,4.0,,0.0
C0YD6V,1,3,3.0,-1.4391848634741369,0.3256
C0YFB7,1,6,3.0,,0.0
C0YFP8,1,8,3.0,-1.4182033850404425,0.2486
C0YG4B,1,3,4.0,-0.019107596817660697,0.6588
C0YG4M,2,2,6.5,3.2456418715634476,1.0
C0YGE2,1,6,3.0,-0.5258653634337958,0.4974
C0YO6I,1,3,5.0,1.3895439382722714,1.0
C0YTW6,2,6,2.5,-0.027511910559720194,0.5046
C0Z4MP,1,3,5.0,1.4146379325438996,1.0
C0Z5PU,2,6,3.0,0.4716748027938783,0.7458
C0Z6TR,1,0,7.0,,0.0
C0Z8VB,1,7,4.0,1.9930915164897591,1.0
C0ZDY3,1,3,4.0,-1.0628920818611052,0.4068
